3;3;3;
984;984;811;
3;3;3;
985;963;10;
3;3;3;
3;3;3;
5;378;4;
4;3;3;
3;3;1;
3;2;3;
16;67;272;
16;51;246;
985;983;845;
985;965;7;
5;400;3;
4;443;4;
985;955;10;
985;934;6;
984;955;10;
987;978;21;
985;985;845;
986;986;913;
984;985;849;
984;966;6;
984;913;4;
984;948;5;
4;405;2;
4;404;3;
979;3;3;
978;3;3;
978;3;4;
978;3;3;
976;3;2;
977;3;3;
5;409;3;
3;3;4;
978;3;3;
3;3;3;
978;3;3;
985;967;7;
985;984;857;
985;969;6;
985;962;7;
975;3;3;
985;985;839;
985;985;855;
985;984;846;
985;984;845;
985;984;828;
985;940;2;
985;984;829;
5;448;4;
5;430;3;
3;3;3;
4;425;3;
985;960;5;
12;70;257;
984;889;4;
5;408;3;
3;3;3;
10;50;244;
3;3;3;
17;74;287;
14;68;285;
4;3;3;
3;3;3;
986;984;839;
984;984;826;
978;3;2;
985;942;4;
979;3;3;
4;426;3;
9;50;264;
3;3;3;
985;961;3;
3;403;3;
4;377;3;
4;400;3;
3;382;3;
4;393;3;
984;983;773;
984;944;3;
983;868;3;
4;380;4;
984;880;3;
4;385;3;
4;398;2;
976;2;2;
3;2;3;
978;3;2;
983;837;3;
3;3;3;
985;983;812;
984;899;3;
5;384;4;
3;3;3;
978;1;3;
979;3;3;
979;3;3;
977;2;1;
978;3;3;
978;3;2;
979;2;3;
984;933;3;
985;920;3;
984;985;836;
984;984;794;
984;983;794;
985;984;815;
985;984;817;
985;983;821;
984;982;787;
8;39;234;
7;57;255;
7;46;235;
8;37;236;
32;121;356;
6;39;236;
11;35;233;
986;954;4;
9;52;270;
9;50;244;
985;985;859;
8;53;262;
8;55;279;
21;94;285;
985;985;864;
986;945;3;
17;65;300;
7;39;234;
11;53;262;
10;73;274;
9;57;256;
9;47;249;
985;985;844;
11;66;298;
3;2;3;
979;3;3;
4;450;3;
985;985;870;
3;3;3;
978;2;3;
4;417;3;
3;403;3;
985;973;4;
4;410;3;
985;985;842;
985;966;3;
3;3;3;
985;984;841;
985;984;866;
12;66;283;
985;968;4;
979;2;2;
978;3;2;
977;4;3;
979;2;3;
979;2;3;
976;2;3;
979;3;3;
4;403;3;
979;2;2;
3;430;2;
5;426;4;
985;985;832;
3;419;4;
4;423;3;
985;926;3;
985;950;3;
3;3;3;
3;2;3;
4;428;4;
3;397;3;
20;463;13;
51;128;351;
981;9;3;
11;441;5;
23;463;14;
15;459;10;
44;110;308;
981;25;3;
76;122;341;
980;19;2;
38;104;305;
44;108;321;
21;477;16;
980;26;2;
980;10;3;
980;20;3;
19;466;13;
42;93;315;
982;13;3;
84;156;389;
25;459;20;
28;486;17;
13;448;7;
980;4;3;
21;471;14;
981;31;2;
75;156;353;
62;132;362;
26;468;19;
63;117;332;
20;458;13;
980;7;3;
26;455;12;
981;6;3;
978;13;3;
981;15;3;
981;28;4;
51;126;343;
16;465;13;
13;435;7;
981;4;3;
30;429;15;
27;459;18;
41;97;310;
72;123;351;
979;8;3;
980;6;3;
38;92;294;
45;97;324;
38;100;311;
13;417;5;
73;131;359;
64;130;345;
15;437;5;
42;99;296;
11;3;3;
25;508;24;
20;446;14;
980;3;3;
59;126;346;
20;475;16;
5;444;7;
69;150;370;
40;100;329;
979;5;3;
16;458;8;
11;448;6;
12;437;8;
981;12;2;
17;428;8;
9;443;6;
980;4;2;
981;11;3;
27;442;11;
65;120;327;
980;6;3;
981;11;3;
46;112;329;
47;111;319;
48;111;322;
13;471;12;
42;103;332;
45;97;310;
980;3;2;
9;447;7;
981;20;3;
18;439;11;
981;6;2;
981;5;3;
50;114;336;
11;448;8;
8;441;5;
