3;1;1;
981;49;20;
44;462;32;
986;980;128;
45;423;25;
52;519;44;
986;986;926;
96;138;336;
47;464;30;
3;1;1;
985;986;889;
31;431;19;
985;985;853;
984;986;870;
2;1;1;
980;6;0;
984;947;49;
1;1;1;
1;1;0;
983;955;39;
985;944;47;
980;3;1;
985;985;830;
981;5;1;
16;448;8;
64;112;313;
1;1;0;
1;1;0;
984;956;50;
986;985;860;
24;457;12;
61;95;275;
2;1;1;
14;405;6;
56;95;293;
1;1;0;
19;417;5;
985;985;851;
981;6;0;
986;985;866;
984;925;35;
16;444;5;
987;986;885;
1;1;1;
984;983;740;
986;986;884;
980;7;1;
985;985;844;
55;103;296;
1;1;1;
